Date,Time,Cured,Deaths,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National,Active cases,%Death rate,%Cure rate,%Active rate
12-06-2020,8:00 AM,2,0,30,30.0,0.0,28,0.0,6.666666666666667,93.33333333333333
13-06-2020,8:00 AM,2,0,30,30.0,0.0,28,0.0,6.666666666666667,93.33333333333333
14-06-2020,8:00 AM,2,0,35,35.0,0.0,33,0.0,5.714285714285714,94.28571428571428
15-06-2020,8:00 AM,2,0,36,29.0,7.0,34,0.0,5.555555555555555,94.44444444444444
16-06-2020,8:00 AM,5,0,36,29.0,7.0,31,0.0,13.88888888888889,86.11111111111111
17-06-2020,8:00 AM,9,0,45,30.0,15.0,36,0.0,20.0,80.0
18-06-2020,8:00 AM,12,0,57,30.0,27.0,45,0.0,21.052631578947366,78.94736842105263
19-06-2020,8:00 AM,13,0,58,58.0,0.0,45,0.0,22.413793103448278,77.58620689655173
20-06-2020,8:00 AM,14,0,62,31.0,31.0,48,0.0,22.58064516129032,77.41935483870968
21-06-2020,8:00 AM,26,0,68,34.0,34.0,42,0.0,38.23529411764706,61.76470588235294
22-06-2020,8:00 AM,26,0,88,44.0,44.0,62,0.0,29.545454545454547,70.45454545454545
23-06-2020,8:00 AM,27,0,91,45.0,46.0,64,0.0,29.67032967032967,70.32967032967034
24-06-2020,8:00 AM,29,0,120,60.0,60.0,91,0.0,24.166666666666668,75.83333333333333
25-06-2020,8:00 AM,30,0,120,60.0,60.0,90,0.0,25.0,75.0
26-06-2020,8:00 AM,32,0,155,77.0,78.0,123,0.0,20.64516129032258,79.35483870967742
27-06-2020,8:00 AM,41,0,163,81.0,82.0,122,0.0,25.153374233128833,74.84662576687117
28-06-2020,8:00 AM,55,0,177,89.0,88.0,122,0.0,31.07344632768362,68.92655367231639
29-06-2020,8:00 AM,60,0,178,89.0,89.0,118,0.0,33.70786516853933,66.29213483146067
30-06-2020,8:00 AM,77,0,203,101.0,102.0,126,0.0,37.93103448275862,62.06896551724138
01-07-2020,8:00 AM,82,0,213,106.0,107.0,131,0.0,38.497652582159624,61.502347417840376
02-07-2020,8:00 AM,86,0,215,107.0,108.0,129,0.0,40.0,60.0
03-07-2020,8:00 AM,89,0,230,115.0,115.0,141,0.0,38.69565217391304,61.30434782608696
04-07-2020,8:00 AM,96,0,257,128.0,129.0,161,0.0,37.35408560311284,62.64591439688716
05-07-2020,8:00 AM,96,0,271,135.0,136.0,175,0.0,35.42435424354243,64.57564575645756
06-07-2020,8:00 AM,106,0,271,135.0,136.0,165,0.0,39.11439114391143,60.88560885608856
07-07-2020,8:00 AM,114,0,297,148.0,149.0,183,0.0,38.38383838383838,61.61616161616161
08-07-2020,8:00 AM,183,0,405,203.0,202.0,222,0.0,45.18518518518518,54.81481481481482
09-07-2020,8:00 AM,184,0,408,204.0,204.0,224,0.0,45.09803921568628,54.90196078431373
10-07-2020,8:00 AM,189,0,411,205.0,206.0,222,0.0,45.98540145985402,54.01459854014598
11-07-2020,8:00 AM,211,0,459,229.0,230.0,248,0.0,45.969498910675384,54.03050108932462
12-07-2020,8:00 AM,226,0,471,235.0,236.0,245,0.0,47.983014861995755,52.016985138004245
13-07-2020,8:00 AM,245,0,479,239.0,240.0,234,0.0,51.1482254697286,48.8517745302714
14-07-2020,8:00 AM,268,1,495,247.0,248.0,226,0.20202020202020202,54.141414141414145,45.656565656565654
15-07-2020,8:00 AM,310,1,520,260.0,260.0,209,0.19230769230769232,59.61538461538461,40.19230769230769
16-07-2020,8:00 AM,357,2,539,269.0,270.0,180,0.3710575139146568,66.23376623376623,33.39517625231911
17-07-2020,8:00 AM,371,2,552,276.0,276.0,179,0.36231884057971014,67.21014492753623,32.427536231884055
18-07-2020,8:00 AM,401,2,585,292.0,293.0,182,0.3418803418803419,68.54700854700855,31.11111111111111
19-07-2020,8:00 AM,414,2,602,301.0,301.0,186,0.33222591362126247,68.77076411960132,30.89700996677741
20-07-2020,8:00 AM,414,2,605,303.0,302.0,189,0.3305785123966942,68.4297520661157,31.239669421487605
21-07-2020,8:00 AM,448,2,684,342.0,342.0,234,0.29239766081871343,65.49707602339181,34.21052631578947
22-07-2020,8:00 AM,463,2,705,352.0,353.0,240,0.28368794326241137,65.67375886524822,34.04255319148936
23-07-2020,8:00 AM,474,2,733,366.0,367.0,257,0.2728512960436562,64.66575716234652,35.06139154160982
24-07-2020,8:00 AM,489,2,770,385.0,385.0,279,0.2597402597402597,63.50649350649351,36.23376623376623
25-07-2020,8:00 AM,512,2,815,407.0,408.0,301,0.245398773006135,62.82208588957056,36.93251533742331
26-07-2020,8:00 AM,530,2,860,430.0,430.0,328,0.23255813953488372,61.627906976744185,38.139534883720934
27-07-2020,8:00 AM,550,2,914,457.0,457.0,362,0.2188183807439825,60.17505470459519,39.606126914660834
28-07-2020,8:00 AM,564,2,946,473.0,473.0,380,0.21141649048625794,59.61945031712473,40.169133192389005
29-07-2020,8:00 AM,596,2,982,491.0,491.0,384,0.20366598778004072,60.692464358452135,39.103869653767816
30-07-2020,8:00 AM,648,2,1026,513.0,513.0,376,0.1949317738791423,63.1578947368421,36.64717348927875
31-07-2020,8:00 AM,668,2,1064,532.0,532.0,394,0.18796992481203006,62.78195488721805,37.03007518796993
01-08-2020,8:00 AM,686,2,1100,550.0,550.0,412,0.18181818181818182,62.36363636363637,37.45454545454546
02-08-2020,8:00 AM,725,2,1145,572.0,573.0,418,0.17467248908296942,63.31877729257642,36.506550218340614
03-08-2020,8:00 AM,766,2,1184,592.0,592.0,416,0.16891891891891891,64.69594594594594,35.13513513513514
04-08-2020,8:00 AM,860,2,1274,637.0,637.0,412,0.15698587127158556,67.50392464678178,32.33908948194662
05-08-2020,8:00 AM,919,2,1325,662.0,663.0,404,0.1509433962264151,69.35849056603773,30.49056603773585
06-08-2020,8:00 AM,960,2,1366,683.0,683.0,404,0.14641288433382138,70.27818448023426,29.575402635431917
07-08-2020,8:00 AM,973,2,1391,695.0,696.0,416,0.14378145219266716,69.94967649173257,29.906542056074763
08-08-2020,8:00 AM,1014,2,1437,719.0,718.0,421,0.13917884481558804,70.56367432150313,29.297146833681282
09-08-2020,8:00 AM,1037,2,1456,728.0,728.0,417,0.13736263736263737,71.22252747252747,28.640109890109887
10-08-2020,8:00 AM,1121,2,1564,781.0,783.0,441,0.1278772378516624,71.67519181585678,28.19693094629156
11-08-2020,8:00 AM,1167,2,1613,806.0,807.0,444,0.12399256044637322,72.34965902045877,27.526348419094855
12-08-2020,8:00 AM,1209,2,1653,827.0,826.0,442,0.12099213551119178,73.13974591651544,26.739261947973382
13-08-2020,8:00 AM,1248,2,1696,848.0,848.0,446,0.1179245283018868,73.58490566037736,26.297169811320753
14-08-2020,8:00 AM,1292,2,1752,876.0,876.0,458,0.1141552511415525,73.74429223744292,26.14155251141553
15-08-2020,8:00 AM,1331,2,1797,899.0,898.0,464,0.11129660545353368,74.06789092932665,25.82081246521981
16-08-2020,8:00 AM,1384,2,1843,921.0,922.0,457,0.10851871947911015,75.09495387954422,24.796527400976668
17-08-2020,8:00 AM,1431,2,1878,938.0,940.0,445,0.10649627263045794,76.19808306709265,23.695420660276888
18-08-2020,8:00 AM,1459,2,1908,1853.0,55.0,447,0.10482180293501049,76.46750524109015,23.427672955974842
19-08-2020,8:00 AM,1524,2,1951,1876.0,75.0,425,0.10251153254741158,78.11378780112763,21.78370066632496
20-08-2020,8:00 AM,1604,2,1995,1987.0,8.0,389,0.10025062656641603,80.40100250626566,19.49874686716792
21-08-2020,8:00 AM,1627,2,2030,2000.0,30.0,401,0.09852216748768472,80.14778325123153,19.753694581280786
22-08-2020,8:00 AM,1652,2,2082,2081.0,1.0,428,0.09606147934678194,79.34678194044189,20.557156580211338
23-08-2020,8:00 AM,1702,2,2120,2120.0,0.0,416,0.09433962264150944,80.28301886792453,19.622641509433965
24-08-2020,8:00 AM,1753,2,2161,2080.0,81.0,406,0.09254974548819991,81.11985192040721,18.78759833410458
25-08-2020,8:00 AM,1786,2,2181,2181.0,0.0,393,0.09170105456212746,81.88904172397983,18.019257221458044
26-08-2020,8:00 AM,1820,2,2203,2203.0,0.0,381,0.09078529278256922,82.61461643213799,17.294598275079437
27-08-2020,8:00 AM,1862,2,2228,2224.0,4.0,364,0.08976660682226212,83.57271095152603,16.337522441651707
28-08-2020,8:00 AM,1916,2,2266,2266.0,0.0,348,0.088261253309797,84.55428067078552,15.35745807590468
29-08-2020,8:00 AM,1960,2,2290,2290.0,0.0,328,0.08733624454148471,85.58951965065502,14.323144104803493
30-08-2020,8:00 AM,1998,2,2306,2300.0,6.0,306,0.08673026886383348,86.64353859496966,13.269731136166522
31-08-2020,8:00 AM,2042,2,2340,2340.0,0.0,296,0.08547008547008547,87.26495726495726,12.649572649572649
01-09-2020,8:00 AM,2081,2,2367,2367.0,0.0,284,0.08449514152936206,87.91719476130122,11.998310097169412
02-09-2020,8:00 AM,2122,2,2386,1193.0,1193.0,262,0.08382229673093043,88.93545683151717,10.980720871751885
03-09-2020,8:00 AM,2141,2,2435,2430.0,5.0,292,0.08213552361396304,87.92607802874744,11.991786447638605
04-09-2020,8:00 AM,2154,2,2450,0.0,2450.0,294,0.0816326530612245,87.91836734693878,12.0
05-09-2020,8:00 AM,2180,2,2467,2467.0,0.0,285,0.08107012565869477,88.36643696797731,11.552492906364005
06-09-2020,8:00 AM,2234,2,2537,2536.0,1.0,301,0.07883326763894363,88.05675995270003,11.864406779661017
07-09-2020,8:00 AM,2271,2,2575,2575.0,0.0,302,0.07766990291262137,88.19417475728156,11.728155339805825
08-09-2020,8:00 AM,2291,2,2590,2590.0,0.0,297,0.07722007722007722,88.45559845559846,11.467181467181467
09-09-2020,8:00 AM,2321,2,2617,2617.0,0.0,294,0.07642338555598013,88.68933893771495,11.23423767672908
10-09-2020,8:00 AM,2346,2,2643,2643.0,0.0,295,0.07567158531971245,88.7627695800227,11.161558834657587
11-09-2020,8:00 AM,2375,2,2671,2671.0,0.0,294,0.07487832272557095,88.91800823661549,11.007113440658928
12-09-2020,8:00 AM,2413,2,2695,2695.0,0.0,280,0.07421150278293136,89.53617810760667,10.38961038961039
13-09-2020,8:00 AM,2444,2,2725,2725.0,0.0,279,0.07339449541284404,89.68807339449542,10.238532110091743
14-09-2020,8:00 AM,2488,2,2745,2745.0,0.0,255,0.07285974499089254,90.63752276867031,9.289617486338798
15-09-2020,8:00 AM,2513,2,2763,2763.0,0.0,248,0.07238508867173363,90.95186391603329,8.97575099529497
16-09-2020,8:00 AM,2552,2,2783,2783.0,0.0,229,0.07186489399928135,91.699604743083,8.228530362917715
17-09-2020,8:00 AM,2575,2,2810,2810.0,0.0,233,0.0711743772241993,91.63701067615658,8.291814946619217
18-09-2020,8:00 AM,2608,2,2831,2831.0,0.0,221,0.07064641469445425,92.12292476156834,7.806428823737195
19-09-2020,8:00 AM,2639,2,2859,2859.0,0.0,218,0.06995452955578874,92.30500174886323,7.6250437215809725
20-09-2020,8:00 AM,2677,2,2887,2887.0,0.0,208,0.06927606511950121,92.72601316245238,7.204710772428126
21-09-2020,8:00 AM,2693,2,2924,2924.0,0.0,229,0.06839945280437756,92.0998632010944,7.831737346101231
22-09-2020,8:00 AM,2711,2,2933,2933.0,0.0,220,0.06818956699624958,92.4309580634163,7.500852369587453
23-09-2020,8:00 AM,2744,2,2944,2944.0,0.0,198,0.06793478260869565,93.20652173913044,6.725543478260869
24-09-2020,8:00 AM,2755,2,2962,2962.0,0.0,205,0.0675219446320054,93.01147873058744,6.920999324780554
25-09-2020,8:00 AM,2785,2,2977,2977.0,0.0,190,0.06718172657037286,93.55055424924421,6.382264024185422
26-09-2020,8:00 AM,2805,2,2989,2989.0,0.0,182,0.06691201070592172,93.8440950150552,6.0889929742388755
27-09-2020,8:00 AM,2831,2,2996,2996.0,0.0,163,0.06675567423230974,94.49265687583444,5.440587449933244
28-09-2020,8:00 AM,2848,2,3002,3002.0,0.0,152,0.06662225183211193,94.87008660892738,5.063291139240507
29-09-2020,8:00 AM,2877,2,3012,3012.0,0.0,133,0.06640106241699867,95.5179282868526,4.415670650730412
30-09-2020,8:00 AM,2910,2,3032,3032.0,0.0,120,0.06596306068601583,95.97625329815304,3.95778364116095
01-10-2020,8:00 AM,2929,2,3040,3040.0,0.0,109,0.06578947368421052,96.34868421052632,3.585526315789474
02-10-2020,8:00 AM,2939,2,3054,3054.0,0.0,113,0.06548788474132286,96.23444662737394,3.7000654878847414
03-10-2020,8:00 AM,2959,2,3061,3061.0,0.0,100,0.06533812479581835,96.66775563541327,3.2669062397909174
04-10-2020,8:00 AM,2967,2,3070,3070.0,0.0,101,0.06514657980456026,96.64495114006515,3.2899022801302933
05-10-2020,8:00 AM,2980,2,3087,3087.0,0.0,105,0.06478781988986071,96.53385163589246,3.4013605442176873
06-10-2020,8:00 AM,2991,2,3092,3092.0,0.0,99,0.0646830530401035,96.73350582147478,3.2018111254851234
07-10-2020,8:00 AM,3000,2,3103,3103.0,0.0,101,0.06445375443119562,96.68063164679343,3.254914598775379
08-10-2020,8:00 AM,3010,2,3120,3120.0,0.0,108,0.0641025641025641,96.47435897435898,3.4615384615384617
09-10-2020,8:00 AM,3025,2,3132,3132.0,0.0,105,0.06385696040868455,96.58365261813537,3.3524904214559386
10-10-2020,8:00 AM,3037,2,3140,3140.0,0.0,101,0.06369426751592357,96.71974522292993,3.21656050955414
11-10-2020,8:00 AM,3050,2,3152,3152.0,0.0,100,0.06345177664974619,96.76395939086294,3.1725888324873095
12-10-2020,8:00 AM,3059,2,3163,3163.0,0.0,102,0.06323110970597534,96.71198229528927,3.2247865950047423
13-10-2020,8:00 AM,3064,2,3168,3168.0,0.0,102,0.06313131313131314,96.71717171717171,3.2196969696969697
14-10-2020,8:00 AM,3081,2,3168,3168.0,0.0,85,0.06313131313131314,97.25378787878788,2.683080808080808
15-10-2020,8:00 AM,3090,2,3171,3171.0,0.0,79,0.06307158625039419,97.44560075685904,2.491327656890571
16-10-2020,8:00 AM,3099,2,3172,3172.0,0.0,71,0.06305170239596469,97.69861286254728,2.2383354350567464
17-10-2020,8:00 AM,3109,2,3177,3177.0,0.0,66,0.06295247088448222,97.8596159899276,2.0774315391879132
18-10-2020,8:00 AM,3119,2,3180,3180.0,0.0,59,0.06289308176100629,98.0817610062893,1.8553459119496856
19-10-2020,8:00 AM,3127,2,3183,3183.0,0.0,54,0.06283380458686773,98.24065347156771,1.6965127238454287
20-10-2020,8:00 AM,3140,2,3185,3185.0,0.0,43,0.06279434850863422,98.58712715855573,1.3500784929356358
21-10-2020,8:00 AM,3153,2,3194,3194.0,0.0,39,0.06261740763932373,98.71634314339386,1.2210394489668128
22-10-2020,8:00 AM,3161,2,3207,3207.0,0.0,44,0.06236357966947303,98.56563766760212,1.3719987527284068
23-10-2020,8:00 AM,3164,2,3213,3213.0,0.0,47,0.06224712107065049,98.47494553376906,1.4628073451602863
24-10-2020,8:00 AM,3167,2,3220,3220.0,0.0,51,0.062111801242236024,98.35403726708074,1.5838509316770186
25-10-2020,8:00 AM,3173,2,3225,3225.0,0.0,50,0.062015503875969,98.3875968992248,1.550387596899225
26-10-2020,8:00 AM,3175,2,3228,3228.0,0.0,51,0.061957868649318466,98.35811648079306,1.5799256505576207
27-10-2020,8:00 AM,3176,2,3228,3228.0,0.0,50,0.061957868649318466,98.38909541511772,1.5489467162329618
